"","Study_Area","Area_ha","Unique_ID","Transect_ID","Transect_Length_km","Date","Distance","Group_size","Survey_Time","Ground","Med_Veg","High_veg"
"71","La Copita Ranch",1096.698,"9.9.2023_7.5",7,4.79,"9/9/2023",29.9902477716688,6,"Morning",0.453545726530282,0.212258429691922,0.186221395649713
"72","La Copita Ranch",1096.698,"9.9.2023_7.6",7,4.79,"9/9/2023",5.17468342592802,2,"Morning",0.535397779362331,0.138942650504227,0.12529285932566
"73","La Copita Ranch",1096.698,"9.9.2023_7.7",7,4.79,"9/9/2023",49.9837227697387,2,"Morning",0.41801445285616,0.247591190640055,0.169562973158981
"77","La Copita Ranch",1096.698,"9.9.2023_8.1",8,4.84,"9/9/2023",5.17460618681454,1,"Morning",0.310429936305732,0.377866242038217,0.0176751592356688
"78","La Copita Ranch",1096.698,"9.9.2023_8.2",8,4.84,"9/9/2023",5.17471377630729,6,"Morning",0.519234563030183,0.197573485894654,0.130696389820477
"79","La Copita Ranch",1096.698,"9.9.2023_8.3",8,4.84,"9/9/2023",34.6296862944545,1,"Morning",0.333986415882968,0.36546499477534,0.162029780564263
"83","La Copita Ranch",1096.698,"2.9.2024_1.1",1,2.94,"2/9/2024",60.6023081094786,2,"Evening",0.584160756501182,0.128841607565012,0.00685579196217494
"84","La Copita Ranch",1096.698,"2.9.2024_2.1",2,4.99,"2/9/2024",60.6021040025199,1,"Evening",0.270968886785757,0.363362119957412,0.222761149887614
"85","La Copita Ranch",1096.698,"2.9.2024_2.2",2,4.99,"2/9/2024",86.5746737484627,1,"Evening",0.18539998158888,0.0804565957838534,0.623584645125656
"86","La Copita Ranch",1096.698,"2.9.2024_2.3",2,4.99,"2/9/2024",24.9919654258534,1,"Evening",0.33341264176382,0.376318502656832,0.0684431755095567
"87","La Copita Ranch",1096.698,"2.9.2024_2.4",2,4.99,"2/9/2024",49.9838439020712,1,"Evening",0.380030749751289,0.270145609116397,0.0115763769557746
"88","La Copita Ranch",1096.698,"2.9.2024_2.5",2,4.99,"2/9/2024",51.9447286033943,2,"Evening",0.364994142912925,0.24746192893401,0.026454509957048
"89","La Copita Ranch",1096.698,"2.9.2024_2.6",2,4.99,"2/9/2024",14.9951541836652,4,"Evening",0.300249887870827,0.372653296597681,0.160248606394567
"90","La Copita Ranch",1096.698,"2.9.2024_2.7",2,4.99,"2/9/2024",59.9806129260536,1,"Evening",0.387266215678472,0.303700756068444,0.0797453243135694
"91","La Copita Ranch",1096.698,"2.9.2024_2.8",2,4.99,"2/9/2024",39.9870760085032,1,"Evening",0.387461272097685,0.258064516129032,0.030162201567341
"92","La Copita Ranch",1096.698,"2.9.2024_3.1",3,4.99,"2/9/2024",8.65746038563188,1,"Evening",0.270335437203035,0.272321111977874,0.029501453797603
