"","Study_Area","Area_ha","Transect_ID","Transect_Length_km","Flight_Path","Date","Female","Fawn","Male_Young","Male_Middle","Male_Mature","Male_Unkown","Unknown","Direction_clock","Detection_Distance","Survey_Time","Degree","Perpendicular_Distance","Group_size","Males"
"138","La Copita Ranch",1096.698,5,4.68,"S2N","2/10/2024",2,1,0,0,0,0,0,1,30,"Morning",30,15,3,0
"139","La Copita Ranch",1096.698,6,4.74,"N2S","2/10/2024",1,1,0,0,0,0,0,3,100,"Morning",270,100,2,0
"140","La Copita Ranch",1096.698,6,4.74,"N2S","2/10/2024",0,0,1,0,0,0,0,11,80,"Morning",150,40,1,1
"141","La Copita Ranch",1096.698,6,4.74,"N2S","2/10/2024",0,0,0,1,0,0,0,12,30,"Morning",180,0,1,1
"142","La Copita Ranch",1096.698,6,4.74,"N2S","2/10/2024",1,1,0,1,0,0,0,3,60,"Morning",270,60,3,1
"143","La Copita Ranch",1096.698,6,4.74,"N2S","2/10/2024",1,0,0,0,0,0,0,1,50,"Morning",210,25,1,0
"144","La Copita Ranch",1096.698,6,4.74,"N2S","2/10/2024",2,0,0,0,0,0,0,7,60,"Morning",30,30,2,0
"145","La Copita Ranch",1096.698,6,4.74,"N2S","2/10/2024",2,1,0,0,0,0,0,8,50,"Morning",60,43,3,0
"146","La Copita Ranch",1096.698,7,4.79,"S2N","2/10/2024",0,0,0,0,1,0,0,12,5,"Morning",0,0,1,1
"147","La Copita Ranch",1096.698,7,4.79,"S2N","2/10/2024",1,0,0,0,0,0,0,12,30,"Morning",0,0,1,0
"148","La Copita Ranch",1096.698,7,4.79,"S2N","2/10/2024",2,0,0,0,0,0,0,8,100,"Morning",240,87,2,0
"149","La Copita Ranch",1096.698,7,4.79,"S2N","2/10/2024",0,0,0,1,0,0,0,2,40,"Morning",60,35,1,1
"150","La Copita Ranch",1096.698,7,4.79,"S2N","2/10/2024",1,1,0,0,0,0,0,2,100,"Morning",60,87,2,0
"151","La Copita Ranch",1096.698,7,4.79,"S2N","2/10/2024",1,2,0,0,0,0,0,11,30,"Morning",330,15,3,0
"152","La Copita Ranch",1096.698,8,4.84,"N2S","2/10/2024",1,1,0,0,0,0,0,11,40,"Morning",150,20,2,0
"153","La Copita Ranch",1096.698,8,4.84,"N2S","2/10/2024",0,0,0,0,0,0,1,9,100,"Morning",90,100,1,0
"154","La Copita Ranch",1096.698,8,4.84,"N2S","2/10/2024",4,0,0,0,0,0,0,1,70,"Morning",210,35,4,0
"155","La Copita Ranch",1096.698,8,4.84,"N2S","2/10/2024",1,0,1,0,0,0,0,3,100,"Morning",270,100,2,1
"156","La Copita Ranch",1096.698,8,4.84,"N2S","2/10/2024",4,0,0,0,0,0,0,1,60,"Morning",210,30,4,0
"157","La Copita Ranch",1096.698,8,4.84,"N2S","2/10/2024",1,0,0,0,0,0,0,3,100,"Morning",270,100,1,0
"158","La Copita Ranch",1096.698,8,4.84,"N2S","2/10/2024",0,0,0,1,0,0,0,2,40,"Morning",240,35,1,1
"159","La Copita Ranch",1096.698,9,1.25,"S2N","2/10/2024",1,0,0,0,0,0,0,9,60,"Morning",270,60,1,0
"160","La Copita Ranch",1096.698,11,1.25,"S2N","2/10/2024",2,0,0,0,0,0,0,6,0,"Morning",180,0,2,0
"161","La Copita Ranch",1096.698,12,1.25,"N2S","2/10/2024",2,0,0,0,0,0,0,12,0,"Morning",180,0,2,0
"162","La Copita Ranch",1096.698,8,4.84,"N2S","9/6/2024",0,0,0,1,0,0,0,1,5,"Evening",210,2,1,1
"163","La Copita Ranch",1096.698,7,4.79,"S2N","9/6/2024",1,0,0,0,0,0,0,3,10,"Evening",90,10,1,0
"164","La Copita Ranch",1096.698,7,4.79,"S2N","9/6/2024",0,0,0,0,0,0,1,4,20,"Evening",120,17,1,0
"165","La Copita Ranch",1096.698,7,4.79,"S2N","9/6/2024",1,0,0,0,0,0,0,2,30,"Evening",60,26,1,0
"166","La Copita Ranch",1096.698,7,4.79,"S2N","9/6/2024",1,1,0,0,0,0,0,12,10,"Evening",0,0,2,0
"167","La Copita Ranch",1096.698,6,4.74,"N2S","9/6/2024",1,0,0,0,0,0,0,3,20,"Evening",270,20,1,0
"168","La Copita Ranch",1096.698,4,4.99,"N2S","9/6/2024",1,0,0,0,0,0,0,2,10,"Evening",240,9,1,0
"169","La Copita Ranch",1096.698,3,4.99,"S2N","9/6/2024",1,1,0,0,0,0,0,1,5,"Evening",30,2,2,0
"170","La Copita Ranch",1096.698,3,4.99,"S2N","9/6/2024",0,0,0,0,1,0,0,5,40,"Evening",150,20,1,1
"171","La Copita Ranch",1096.698,3,4.99,"S2N","9/6/2024",1,0,0,0,0,0,0,4,20,"Evening",120,17,1,0
"172","La Copita Ranch",1096.698,3,4.99,"S2N","9/6/2024",0,0,0,0,1,0,0,6,0,"Evening",180,0,1,1
"173","La Copita Ranch",1096.698,2,4.99,"N2S","9/6/2024",0,0,0,0,2,0,0,2,30,"Evening",240,26,2,2
"174","La Copita Ranch",1096.698,2,4.99,"N2S","9/6/2024",0,0,1,0,0,0,0,1,30,"Evening",210,15,1,1
"175","La Copita Ranch",1096.698,12,1.25,"N2S","9/6/2024",1,0,0,0,0,0,0,1,85,"Evening",210,42,1,0
"176","La Copita Ranch",1096.698,12,1.25,"N2S","9/6/2024",1,0,0,0,0,0,0,12,0,"Evening",180,0,1,0
"177","La Copita Ranch",1096.698,8,4.84,"N2S","9/6/2024",3,0,0,0,0,0,0,9,10,"Evening",90,10,3,0
"178","La Copita Ranch",1096.698,8,4.84,"N2S","9/6/2024",1,0,0,0,0,0,0,10,20,"Evening",120,17,1,0
"179","La Copita Ranch",1096.698,7,4.79,"S2N","9/6/2024",0,0,0,0,1,0,0,8,30,"Evening",240,26,1,1
"180","La Copita Ranch",1096.698,7,4.79,"S2N","9/6/2024",0,0,0,0,1,0,0,12,20,"Evening",0,0,1,1
"181","La Copita Ranch",1096.698,7,4.79,"S2N","9/6/2024",1,0,0,0,0,0,0,8,50,"Evening",240,43,1,0
"182","La Copita Ranch",1096.698,7,4.79,"S2N","9/6/2024",1,0,0,0,0,0,0,11,60,"Evening",330,30,1,0
"183","La Copita Ranch",1096.698,6,4.74,"N2S","9/6/2024",1,0,0,0,0,0,0,5,50,"Evening",330,25,1,0
"184","La Copita Ranch",1096.698,4,4.99,"N2S","9/6/2024",0,0,0,0,1,0,0,6,90,"Evening",0,0,1,1
"185","La Copita Ranch",1096.698,3,4.99,"S2N","9/6/2024",0,0,0,0,1,0,0,8,40,"Evening",240,35,1,1
"186","La Copita Ranch",1096.698,1,2.94,"S2N","9/7/2024",1,1,0,0,0,0,0,2,25,"Morning",60,22,2,0
"187","La Copita Ranch",1096.698,2,4.99,"N2S","9/7/2024",1,0,0,0,0,0,0,5,20,"Morning",330,10,1,0
"188","La Copita Ranch",1096.698,2,4.99,"N2S","9/7/2024",2,0,0,0,0,0,0,8,50,"Morning",60,43,2,0
"189","La Copita Ranch",1096.698,3,4.99,"S2N","9/7/2024",0,0,1,0,0,0,0,2,50,"Morning",60,43,1,1
"190","La Copita Ranch",1096.698,4,4.99,"N2S","9/7/2024",0,0,0,2,0,0,0,3,0,"Morning",270,0,2,2
"191","La Copita Ranch",1096.698,4,4.99,"N2S","9/7/2024",1,0,0,0,0,0,0,9,90,"Morning",90,90,1,0
"192","La Copita Ranch",1096.698,5,4.68,"S2N","9/7/2024",2,0,1,0,0,0,0,1,10,"Morning",30,5,3,1
"193","La Copita Ranch",1096.698,6,4.74,"N2S","9/7/2024",2,0,0,0,0,0,0,5,100,"Morning",330,50,2,0
"194","La Copita Ranch",1096.698,7,4.79,"S2N","9/7/2024",1,0,0,0,0,0,0,3,50,"Morning",90,50,1,0
"195","La Copita Ranch",1096.698,7,4.79,"S2N","9/7/2024",1,0,0,0,0,0,0,4,50,"Morning",120,43,1,0
"196","La Copita Ranch",1096.698,7,4.79,"S2N","9/7/2024",0,0,1,0,0,0,0,9,100,"Morning",270,100,1,1
"197","La Copita Ranch",1096.698,8,4.84,"N2S","9/7/2024",0,0,0,0,1,0,0,3,70,"Morning",270,70,1,1
"198","La Copita Ranch",1096.698,8,4.84,"N2S","9/7/2024",1,0,0,0,0,0,0,3,50,"Morning",270,50,1,0
"199","La Copita Ranch",1096.698,8,4.84,"N2S","9/7/2024",0,1,0,0,0,0,0,8,25,"Morning",60,22,1,0
"200","La Copita Ranch",1096.698,8,4.84,"N2S","9/7/2024",1,1,0,0,0,0,0,2,100,"Morning",240,87,2,0
"201","La Copita Ranch",1096.698,2,4.99,"N2S","9/7/2024",1,1,0,0,0,0,0,3,30,"Morning",270,30,2,0
"202","La Copita Ranch",1096.698,2,4.99,"N2S","9/7/2024",0,1,1,0,0,0,0,12,0,"Morning",180,0,2,1
"203","La Copita Ranch",1096.698,2,4.99,"N2S","9/7/2024",1,0,0,0,0,0,0,11,30,"Morning",150,15,1,0
"204","La Copita Ranch",1096.698,2,4.99,"N2S","9/7/2024",1,0,0,0,0,0,0,7,0,"Morning",30,0,1,0
"205","La Copita Ranch",1096.698,3,4.99,"S2N","9/7/2024",0,0,1,0,0,0,0,9,55,"Morning",270,55,1,1
"206","La Copita Ranch",1096.698,3,4.99,"S2N","9/7/2024",1,0,0,0,0,0,0,9,10,"Morning",270,10,1,0
